CrossAssetPattern,Events,AvgBounce5D,AvgBounce10D,RecoveryRate5D,RecoveryRate10D,BounceScore
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_EXTREME,2,13.49,17.45,100.0,100.0,274.48
PANIC|BEAR|VOLATILE|HIGH_VOL|VIX_HIGH,12,3.53,5.52,75.0,83.33,138.51
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,56,2.69,5.26,71.43,80.36,132.96
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,28,3.21,5.4,50.0,53.57,107.53
PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_HIGH,12,0.7,4.05,58.33,66.67,107.15
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,615,1.82,4.0,60.16,66.83,106.8
PANIC|BULL|VOLATILE|BULL|VIX_HIGH,165,1.51,3.54,60.61,67.27,102.67
PANIC|BEAR|VOLATILE|BULL|VIX_EXTREME,8,1.3,2.52,62.5,75.0,100.15
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_LOW,17,3.74,3.75,70.59,58.82,96.31
PANIC|BEAR|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,31,3.41,2.18,70.97,70.97,92.77
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_EXTREME,302,1.73,3.46,58.61,57.62,92.24
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,1178,2.19,3.9,53.48,53.06,92.1
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,178,1.65,2.69,57.3,64.61,91.51
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,113,2.8,4.09,51.33,50.44,91.32
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_HIGH,20,0.7,3.9,60.0,50.0,88.98
PANIC|BEAR|VOLATILE|BEAR|VIX_EXTREME,141,1.95,2.38,65.96,64.54,88.35
PANIC|HIGH_VOLATILITY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,209,1.69,2.54,57.89,58.85,84.29
PANIC|BULL|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,12,2.16,2.33,50.0,58.33,81.64
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,111,0.74,1.84,59.46,63.06,81.47
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_HIGH,80,1.07,1.86,53.75,60.0,78.61
PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_HIGH,130,1.14,1.77,58.46,57.69,75.42
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_HIGH,319,1.01,1.01,58.93,57.68,67.8
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_LOW,505,0.63,1.26,52.48,54.65,67.28
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,415,0.72,1.37,51.57,52.53,66.24
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,399,0.78,0.97,55.14,56.39,66.04
PANIC|BEAR|VOLATILE|BEAR|VIX_HIGH,219,0.38,0.95,49.77,56.16,65.66
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,138,0.93,0.73,60.14,57.25,64.53
PANIC|BULL|VOLATILE|BULL|VIX_LOW,353,0.42,1.15,53.54,52.41,63.95
PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,264,0.21,0.99,48.48,53.03,62.93
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_EXTREME,16,1.49,1.26,56.25,50.0,62.62
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_ELEVATED,239,0.98,0.83,51.05,53.97,62.32
PANIC|INSUFFICIENT_HISTORY|VOLATILE|BULL|VIX_ELEVATED,53,-0.3,2.26,47.17,39.62,62.27
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_ELEVATED,19,0.68,0.84,47.37,52.63,61.04
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,250,1.75,0.2,67.6,58.0,59.96
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1008,0.92,1.29,47.52,46.83,59.74
PANIC|BULL|VOLATILE|HIGH_VOL|VIX_EXTREME,9,1.85,-0.72,66.67,66.67,59.51
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,506,-0.08,0.61,50.4,52.77,58.91
PANIC|BEAR|VOLATILE|BULL|VIX_HIGH,74,1.27,0.7,60.81,51.35,58.32
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,567,0.34,0.33,57.67,53.62,56.92
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_EXTREME,131,0.41,0.27,67.94,53.44,56.09
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_EXTREME,136,-0.34,0.2,52.94,53.68,55.65
PANIC|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_EXTREME,185,0.12,0.04,53.51,55.14,55.49
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_ELEVATED,635,0.44,0.56,50.39,49.61,55.2
PANIC|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_HIGH,334,-0.14,0.29,47.01,52.1,54.97
PANIC|SIDEWAYS|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,41,0.93,0.03,53.66,51.22,51.49
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_HIGH,726,0.35,0.08,48.76,50.28,51.11
PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286,0.09,0.16,47.9,49.3,50.85
PANIC|BULL|VOLATILE|BULL|VIX_EXTREME,22,0.3,0.9,59.09,40.91,49.87
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_LOW,47,1.37,-0.15,51.06,51.06,49.56
PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,87,0.14,-0.18,56.32,49.43,47.59
PANIC|INSUFFICIENT_HISTORY|VOLATILE|BULL|VIX_HIGH,9,2.3,0.27,55.56,44.44,47.11
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_HIGH,236,0.31,0.17,52.54,45.34,47.03
PANIC|BULL|VOLATILE|BEAR|VIX_EXTREME,24,-0.03,-0.49,41.67,50.0,45.13
PANIC|INSUFFICIENT_HISTORY|VOLATILE|BULL|VIX_LOW,89,-0.69,0.11,40.45,40.45,41.54
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_LOW,2,-5.4,-1.08,0.0,50.0,39.2
PANIC|BULL|VOLATILE|BEAR|VIX_HIGH,43,-0.88,-1.2,51.16,48.84,36.8
PANIC|BEAR|VOLATILE|BULL|VIX_LOW,352,-0.61,-0.92,46.02,43.18,33.98
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_ELEVATED,73,0.11,-0.47,42.47,32.88,28.22
PANIC|BEAR|VOLATILE|HIGH_VOL|VIX_EXTREME,83,-2.97,-4.54,45.78,55.42,10.01
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_EXTREME,37,-0.85,-2.71,48.65,32.43,5.31
PANIC|BULL|VOLATILE|HIGH_VOL|VIX_HIGH,1,-1.49,-0.74,0.0,0.0,-7.43
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_LOW,41,-0.58,-3.48,41.46,24.39,-10.4
PANIC|INSUFFICIENT_HISTORY|VOLATILE|BEAR|VIX_HIGH,1,-2.14,-1.63,0.0,0.0,-16.34
PANIC|BEAR|VOLATILE|BEAR|VIX_ELEVATED,6,0.62,-3.44,33.33,16.67,-17.69
PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_EXTREME,109,-5.38,-6.84,42.2,43.12,-25.26
PANIC|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_ELEVATED,14,-4.23,-5.48,14.29,21.43,-33.36
PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_ELEVATED,1,-6.5,-9.43,0.0,0.0,-94.28
