Ticker,LastClose,AvgVolume60D,AvgDollarVolume60D,LiquidityStatus
^VIX,16.4,0.0,0.0,ILLQUID
BTC-USD,64117.99,32157191825.0,2339506863556122.0,LIQUID
ETH-USD,1730.09,15239803827.0,31144986396960.0,LIQUID
SPY,746.74,59827557.0,42464764797.0,LIQUID
NVDA,210.69,162732603.0,33209780569.0,LIQUID
QQQ,740.62,47715757.0,31851746744.0,LIQUID
HDFCBANK,779.8,41224256.0,31789773278.0,LIQUID
RELIANCE,1309.5,18884945.0,25489771249.0,LIQUID
ICICIBANK,1346.5,18174059.0,23309855949.0,LIQUID
TSLA,400.49,57774693.0,22715219492.0,LIQUID
BHARTIARTL,1910.8,9702978.0,17849387760.0,LIQUID
SBIN,1035.1,17104343.0,17454494713.0,LIQUID
INFY,1051.4,14246100.0,17116079543.0,LIQUID
BSE,4020.2,4184993.0,15422638901.0,LIQUID
MSFT,379.4,35839100.0,14583664570.0,LIQUID
AMD,537.37,38240110.0,14233006666.0,LIQUID
AAPL,298.01,47448727.0,13497084127.0,LIQUID
AMZN,244.39,45125990.0,11237627951.0,LIQUID
TCS,2125.0,4773270.0,11226569766.0,LIQUID
LT,4209.4,2776716.0,10921191081.0,LIQUID
IDEA,14.92,546024867.0,6568651715.0,LIQUID
BEL,426.9,13255263.0,5637488836.0,LIQUID
SUZLON,59.2,105923227.0,5610621499.0,LIQUID
HAL,4408.1,1247208.0,5302279956.0,LIQUID
SAIL,180.05,26279633.0,4802246256.0,LIQUID
PERSISTENT,4829.0,691349.0,3503081562.0,LIQUID
GLD,387.12,7892795.0,3292996375.0,LIQUID
COCHINSHIP,1458.0,1948795.0,3007068106.0,LIQUID
XOM,137.81,19325905.0,2959883743.0,LIQUID
YESBANK,25.41,129375773.0,2796253463.0,LIQUID
RKLB,107.24,27386155.0,2750960741.0,LIQUID
JPM,325.22,8932472.0,2738339948.0,LIQUID
CDSL,1370.3,2141276.0,2699819072.0,LIQUID
WMT,117.18,20344138.0,2518476710.0,LIQUID
RVNL,243.99,9305547.0,2490491898.0,LIQUID
V,327.24,7528955.0,2401005268.0,LIQUID
NMDC,88.42,26405918.0,2339140153.0,LIQUID
USO,114.87,17030723.0,2218486129.0,LIQUID
COST,951.45,2067772.0,2064443369.0,LIQUID
GDX,82.51,23100768.0,2046365306.0,LIQUID
GS,1096.56,2125695.0,2042907153.0,LIQUID
CVX,173.63,10441722.0,1984456081.0,LIQUID
BAC,56.2,36117437.0,1887518616.0,LIQUID
MA,489.79,3674105.0,1829776711.0,LIQUID
SLV,59.51,25576565.0,1723598659.0,LIQUID
HD,334.28,4648832.0,1495772894.0,LIQUID
KPITTECH,760.05,1946247.0,1434135785.0,LIQUID
IRFC,99.51,13468354.0,1337554018.0,LIQUID
IREDA,127.15,9522593.0,1223769747.0,LIQUID
MCD,278.61,3906298.0,1126331997.0,LIQUID
COP,107.74,8238657.0,995915310.0,LIQUID
RTX,185.6,5420748.0,988353058.0,LIQUID
LMT,510.95,1362597.0,743954996.0,LIQUID
NOC,521.5,868412.0,508348843.0,LIQUID
IRDM,44.57,2583840.0,107312003.0,LIQUID
DBC,27.63,1562168.0,46249199.0,LIQUID
