Ticker,Date,Pattern,PrimarySignal,MarketRegime,AlphaRank,Trades,WinRate,AlphaScore
ETH-USD,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,PANIC,HIGH_VOLATILITY,36,378,58.99,18.3763
GDX,2026-06-17,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,42,1693,46.84,17.6973
SLV,2026-06-17,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,42,1693,46.84,17.6973
YESBANK,2026-06-18,MOMENTUM|BULL|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,MOMENTUM,BULL,43,211,52.61,17.0675
RKLB,2026-06-17,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,63,1791,45.06,10.9229
IRDM,2026-06-17,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,63,1791,45.06,10.9229
^VIX,2026-06-17,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,63,1791,45.06,10.9229
INFY,2026-06-18,PANIC|BEAR|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,PANIC,BEAR,66,98,66.33,10.2705
BTC-USD,2026-06-18,PANIC|BEAR|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,PANIC,BEAR,66,98,66.33,10.2705
JPM,2026-06-17,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,79,1952,55.53,9.1496
BAC,2026-06-17,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,79,1952,55.53,9.1496
SBIN,2026-06-18,OVERBOUGHT|BULL|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,OVERBOUGHT,BULL,103,105,50.48,5.9233
HDFCBANK,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,MOMENTUM,SIDEWAYS,120,205,52.2,4.5952
SAIL,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,MOMENTUM,SIDEWAYS,120,205,52.2,4.5952
BEL,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,MOMENTUM,SIDEWAYS,120,205,52.2,4.5952
CDSL,2026-06-18,MOMENTUM|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,MOMENTUM,SIDEWAYS,132,102,49.02,4.1081
QQQ,2026-06-17,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC,BULL,168,1173,52.17,1.8598
SPY,2026-06-17,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC,BULL,168,1173,52.17,1.8598
AAPL,2026-06-17,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC,BULL,168,1173,52.17,1.8598
PERSISTENT,2026-06-18,PANIC|BEAR|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,PANIC,BEAR,176,55,49.09,1.5936
TCS,2026-06-18,PANIC|BEAR|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,PANIC,BEAR,176,55,49.09,1.5936
MSFT,2026-06-17,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,188,1024,49.71,1.0538
MA,2026-06-17,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,188,1024,49.71,1.0538
TSLA,2026-06-17,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,188,1024,49.71,1.0538
COST,2026-06-17,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,199,2028,50.2,0.85
GLD,2026-06-17,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,199,2028,50.2,0.85
HD,2026-06-17,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,199,2028,50.2,0.85
AMZN,2026-06-17,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,199,2028,50.2,0.85
WMT,2026-06-17,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,199,2028,50.2,0.85
AMD,2026-06-17,MOMENTUM|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,217,297,44.78,0.4291
MCD,2026-06-17,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC,BEAR,253,517,45.84,-0.2637
NVDA,2026-06-17,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,258,1199,49.04,-0.5061
CVX,2026-06-17,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,258,1199,49.04,-0.5061
USO,2026-06-17,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,258,1199,49.04,-0.5061
RTX,2026-06-17,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,275,2061,48.91,-1.2052
